出发景点,目的景点,驾车距离（公里）
五台山,云冈石窟,199.99
五台山,晋祠博物馆,258.45
五台山,应县木塔,210.41
五台山,山西黄河壶口瀑布旅游区,495.61
五台山,平遥古城,338.25
五台山,小西天,466.62
五台山,太原植物园,258.45
五台山,广胜寺,462.4
五台山,山西王家大院,393.1
五台山,皇城相府,580.68
五台山,运城关公故里文化旅游景区,624.03
五台山,雁门关,166.34
五台山,太原动物园,231.57
五台山,仙堂山,411.3
五台山,华门,491.44
五台山,大阳古镇,524.52
五台山,柳氏民居,579.57
五台山,河边民俗博物馆,147.07
五台山,金沙滩生态旅游区,200.65
五台山,海会书院,580.68
五台山,舜帝陵,624.03
五台山,人祖山景区,495.61
五台山,赵杲观景区,166.34
五台山,望仙大峡谷,603.29
五台山,青草坡乡村庄园,206.09
五台山,赤壁悬流,446.76
五台山,湘峪村,579.57
五台山,石膏山,393.1
五台山,中太行洗耳河景区,383.01
五台山,平型关大捷景区,120.62
五台山,八路军太行纪念馆,370.04
五台山,珏山,524.52
五台山,欢乐太行谷,441.54
五台山,天宁寺,301.3
云冈石窟,晋祠博物馆,301.1
云冈石窟,应县木塔,133.72
云冈石窟,山西黄河壶口瀑布旅游区,538.26
云冈石窟,平遥古城,380.9
云冈石窟,小西天,509.27
云冈石窟,太原植物园,301.1
云冈石窟,广胜寺,505.05
云冈石窟,山西王家大院,435.75
云冈石窟,皇城相府,623.33
云冈石窟,运城关公故里文化旅游景区,666.68
云冈石窟,雁门关,208.49
云冈石窟,太原动物园,274.22
云冈石窟,仙堂山,453.95
云冈石窟,华门,534.09
云冈石窟,大阳古镇,567.17
云冈石窟,柳氏民居,622.22
云冈石窟,河边民俗博物馆,219.62
云冈石窟,金沙滩生态旅游区,38.36
云冈石窟,海会书院,623.33
云冈石窟,舜帝陵,666.68
云冈石窟,人祖山景区,538.26
云冈石窟,赵杲观景区,208.49
云冈石窟,望仙大峡谷,645.94
云冈石窟,青草坡乡村庄园,248.74
云冈石窟,赤壁悬流,540.25
云冈石窟,湘峪村,622.22
云冈石窟,石膏山,435.75
云冈石窟,中太行洗耳河景区,488.82
云冈石窟,平型关大捷景区,144.75
云冈石窟,八路军太行纪念馆,412.69
云冈石窟,珏山,567.17
云冈石窟,欢乐太行谷,508.76
云冈石窟,天宁寺,343.95
晋祠博物馆,应县木塔,238.44
晋祠博物馆,山西黄河壶口瀑布旅游区,240.87
晋祠博物馆,平遥古城,83.51
晋祠博物馆,小西天,211.89
晋祠博物馆,太原植物园,0.35
晋祠博物馆,广胜寺,207.67
晋祠博物馆,山西王家大院,138.37
晋祠博物馆,皇城相府,335.55
晋祠博物馆,运城关公故里文化旅游景区,369.29
晋祠博物馆,雁门关,106.84
晋祠博物馆,太原动物园,32.24
晋祠博物馆,仙堂山,166.17
晋祠博物馆,华门,236.71
